date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min,river_discharge_p25,river_discharge_p75
2024-12-21 00:00:00+00:00,8.099133,4.240268,3.2365308,18.906734,2.7068074,3.0411115,4.3263974
2024-12-21 00:00:00+00:00,6.498942,4.2501154,3.2413802,17.879915,2.6559482,3.0271707,4.253683
2024-12-21 00:00:00+00:00,5.5012975,4.2600174,3.1928296,21.646444,2.5974934,3.0179076,4.5573177
2024-12-21 00:00:00+00:00,5.0255957,3.8293912,3.2953644,12.001695,2.6391504,2.9994476,4.014668
2024-12-21 00:00:00+00:00,4.7279606,3.9093866,3.3151908,14.452545,2.7068074,2.981072,4.2706623
2024-12-21 00:00:00+00:00,4.48277,3.990442,3.2658405,9.616956,2.6897757,2.9925644,4.2846212
2024-12-21 00:00:00+00:00,4.3456435,3.9077053,3.2315805,8.162205,2.8904512,2.9994476,4.367358
2024-12-21 00:00:00+00:00,4.2360044,3.940301,3.2169652,11.560299,2.8904512,2.9948535,4.3199677
2024-12-21 00:00:00+00:00,4.093309,3.6303747,3.1591063,6.9067864,2.8725765,2.9925644,4.0845227
2024-12-21 00:00:00+00:00,3.9431071,3.5963302,3.102052,7.3560305,2.8636699,2.9536662,3.8922405
2024-12-21 00:00:00+00:00,3.7863011,3.9337742,3.130486,10.402499,2.810658,2.9628117,4.0073204
2024-12-21 00:00:00+00:00,3.6881337,3.913072,3.1209755,10.24605,2.7931497,2.9309804,3.8452117
2024-12-21 00:00:00+00:00,3.655861,3.9983082,3.2024503,12.74042,2.810658,2.9151664,4.4712076
2024-12-21 00:00:00+00:00,3.560369,3.9118738,3.207445,11.941958,2.810658,2.908409,4.504932
2024-12-21 00:00:00+00:00,3.4668355,3.9834814,3.1306503,11.274392,2.810658,2.928728,4.6853943
2024-12-21 00:00:00+00:00,3.4055486,4.023344,3.1976008,13.791082,2.784426,2.9062083,4.3921337
2024-12-21 00:00:00+00:00,3.3752208,4.141959,3.2266972,12.122,2.74973,2.8725765,4.4037657
2024-12-21 00:00:00+00:00,3.3151908,4.465293,3.2512252,13.2889385,2.74973,2.908409,4.485995
2024-12-21 00:00:00+00:00,3.2461958,4.588315,3.207445,14.95879,2.7153523,2.87035,5.5313053
2024-12-21 00:00:00+00:00,3.1879354,4.2946253,3.2024503,13.487719,2.7153523,2.837103,4.991596
2024-12-21 00:00:00+00:00,3.1879354,3.9577394,3.1543453,13.060475,2.6559482,2.8459177,4.161215
2024-12-21 00:00:00+00:00,4.2844524,3.8008974,3.0832047,12.772097,2.6559482,2.810658,3.9660819
2024-12-21 00:00:00+00:00,4.8748937,4.0585556,3.0225391,10.967404,2.6057863,2.8041,4.125972
2024-12-21 00:00:00+00:00,3.9090786,4.075804,3.0602117,16.498468,2.62243,2.780079,3.9175858
2024-12-21 00:00:00+00:00,3.4668355,3.9828787,3.013309,14.06607,2.5974934,2.780079,3.6884708
2024-12-21 00:00:00+00:00,3.2461958,3.8922527,3.07852,10.668097,2.62243,2.810658,4.203019
2024-12-21 00:00:00+00:00,4.407543,3.9144526,3.0271707,11.133888,2.62243,2.7909687,4.3611183
2024-12-21 00:00:00+00:00,6.691304,3.9667134,3.2365308,9.25652,2.5974934,2.8041,5.0673633
2024-12-21 00:00:00+00:00,7.531001,4.049366,3.2024503,12.583135,2.5645113,2.74973,4.1563926
2024-12-21 00:00:00+00:00,4.9020114,4.056708,3.1209755,15.982437,2.5645113,2.7411356,4.3491735
2024-12-21 00:00:00+00:00,3.9659228,3.9592874,3.1400409,12.677289,2.5645113,2.7153523,4.8785143
2024-12-21 00:00:00+00:00,3.655861,4.15132,3.2371485,12.551893,2.5645113,2.74973,4.6396923
2024-12-21 00:00:00+00:00,3.4360867,4.20802,3.3603697,12.772097,2.5318315,2.7607634,4.321125
2024-12-21 00:00:00+00:00,5.338697,4.522641,3.5608044,17.07174,2.4673686,2.810658,4.956669
2024-12-21 00:00:00+00:00,9.185914,4.8920712,3.7808728,15.982437,2.4673686,2.810658,5.6015725
2024-12-21 00:00:00+00:00,5.8076935,4.3023934,3.6132858,11.022646,2.4673686,2.899451,5.237398
