date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant
2024-12-20 23:00:00+00:00,5.7,0.1,7.899999,29.519999,47.88,144.99437
2024-12-20 23:00:00+00:00,3.7,0.85,0.0,14.04,23.4,154.96864
2024-12-20 23:00:00+00:00,1.7,-3.0,0.0,12.959999,21.599998,71.07794
2024-12-20 23:00:00+00:00,2.0,-7.5,1.5000001,11.090103,15.4800005,230.63068
2024-12-20 23:00:00+00:00,2.45,-0.3,0.0,10.703569,35.28,204.07549
2024-12-20 23:00:00+00:00,1.55,-0.1,0.0,2.968636,11.5199995,224.99959
2024-12-20 23:00:00+00:00,-0.0,-0.9,0.0,2.9024127,18.359999,9.066439
