date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum
1950-01-01 00:00:00+00:00,-0.12615815,1.3089719,-1.7659518,5.567396
1950-01-01 00:00:00+00:00,0.38803852,5.375028,-2.605832,0.3284172
1950-01-01 00:00:00+00:00,2.652235,4.641084,-2.595712,4.149723
1950-01-01 00:00:00+00:00,4.266432,6.5071406,2.6144075,0.5284346
1950-01-01 00:00:00+00:00,4.1806283,5.423197,1.7745273,6.4253335
1950-01-01 00:00:00+00:00,0.9448253,2.6892533,-0.86535275,2.4578114
1950-01-01 00:00:00+00:00,1.7090219,2.8053093,-0.1552327,5.1293273
1950-01-01 00:00:00+00:00,1.6732187,6.4713655,-1.9451128,0.5344199
1950-01-01 00:00:00+00:00,2.1374152,6.887422,-0.78499305,0.0
1950-01-01 00:00:00+00:00,1.4516119,5.953478,-2.1748734,0.0
1950-01-01 00:00:00+00:00,1.8158087,6.6695337,-1.0647533,0.0
1950-01-01 00:00:00+00:00,0.2800053,4.1855903,-4.104634,0.7431523
1950-01-01 00:00:00+00:00,2.194202,5.951647,-0.5445137,0.9484982
1950-01-01 00:00:00+00:00,2.0583987,4.9677024,0.015606254,0.67941
1950-01-01 00:00:00+00:00,0.52259535,4.1837587,-2.0742738,0.0
1950-01-01 00:00:00+00:00,-0.46320775,3.8998153,-5.7641544,0.068324916
1950-01-01 00:00:00+00:00,2.6009884,4.015872,0.49596575,18.705334
1950-01-01 00:00:00+00:00,3.5151854,6.4819274,1.7560858,1.855199
1950-01-01 00:00:00+00:00,2.679382,3.497984,1.6162056,4.2032046
1950-01-01 00:00:00+00:00,3.2935789,5.7640405,1.6763253,1.3819897
1950-01-01 00:00:00+00:00,3.3577754,6.880096,0.9864454,1.0394182
1950-01-01 00:00:00+00:00,3.4219723,7.1961527,0.6965654,0.27796075
1950-01-01 00:00:00+00:00,3.336169,7.712209,0.0066849887,0.06968638
1950-01-01 00:00:00+00:00,1.300366,2.2782648,-0.533195,4.7520556
1950-01-01 00:00:00+00:00,3.7145624,7.3943214,0.9269246,2.1724966
1950-01-01 00:00:00+00:00,2.9287586,6.3103786,-0.26295534,1.6866837
1950-01-01 00:00:00+00:00,5.7429557,10.326435,1.8971645,0.35238507
1950-01-01 00:00:00+00:00,5.8071527,10.242491,2.2572844,0.07067613
1950-01-01 00:00:00+00:00,4.9713492,10.008547,1.0174042,0.0
1950-01-01 00:00:00+00:00,6.2355456,10.924603,2.3775241,2.8430457
1950-01-01 00:00:00+00:00,6.0497427,10.94066,2.2376437,0.0
1950-01-01 00:00:00+00:00,5.813939,11.256715,0.9477639,0.0
1950-01-01 00:00:00+00:00,3.8281355,5.522772,1.9078838,8.243272
1950-01-01 00:00:00+00:00,5.992333,11.1888275,1.8180037,1.2938998
1950-01-01 00:00:00+00:00,6.056529,10.754885,1.8781233,0.14417326
1950-01-01 00:00:00+00:00,6.2707257,11.37094,1.8882434,0.0
1950-01-01 00:00:00+00:00,5.2349224,8.536996,2.598363,0.14499013
1950-01-01 00:00:00+00:00,5.599119,9.253053,2.2584832,0.21810062
1950-01-01 00:00:00+00:00,3.3133156,3.3691082,3.2186027,9.331964
1950-01-01 00:00:00+00:00,4.427512,6.185165,2.7287226,1.3891343
1950-01-01 00:00:00+00:00,6.5417094,11.501221,2.0888426,0.36659667
1950-01-01 00:00:00+00:00,6.605906,12.367278,0.6489625,0.0
1950-01-01 00:00:00+00:00,7.5201025,13.183333,0.80908227,0.0737352
1950-01-01 00:00:00+00:00,8.8343,14.799391,3.219202,1.4049376
1950-01-01 00:00:00+00:00,8.948496,15.015446,2.9293218,0.0
1950-01-01 00:00:00+00:00,8.456689,14.771056,1.4901879,0.0
1950-01-01 00:00:00+00:00,4.046873,6.8953285,1.7032917,1.1236553
1950-01-01 00:00:00+00:00,1.8370563,1.9695987,1.2163951,7.0112534
1950-01-01 00:00:00+00:00,5.72724,9.443871,2.379499,0.8345631
1950-01-01 00:00:00+00:00,5.9174237,11.768142,2.5426025,8.627437
1950-01-01 00:00:00+00:00,7.607608,11.592412,4.0557065,18.669382
